25Z	CHEMBL2377836
Z63	CHEMBL2377853
50Z	CHEMBL2377857
0X5	CHEMBL2387224
4JR	CHEMBL2443213
1OA	CHEMBL2387466
1UO	CHEMBL2408611
LTZ	CHEMBL2398242
RNH	CHEMBL2408816
AWH	CHEMBL2418558
3DK	CHEMBL2418761
22T	CHEMBL2391620
1RU	CHEMBL2401813
5Y2	CHEMBL2409175
1GE	CHEMBL2409314
1KO	CHEMBL2381611
AJ4	CHEMBL2381633
1O3	CHEMBL2375371
1VV	CHEMBL2381968
F9J	CHEMBL2381980
1XO	CHEMBL2419711
MSY	CHEMBL2392434
85G	CHEMBL3039113
H48	CHEMBL2392656
KLJ	CHEMBL2385482
1M9	CHEMBL2403219
03S	CHEMBL3039600
NVW	CHEMBL2385758
5WW	CHEMBL2414045
NGJ	CHEMBL2414051
F70	CHEMBL2431803
KB8	CHEMBL2441619
MMV	CHEMBL3040038
ZS4	CHEMBL586702
TPB	CHEMBL70663
BGW	CHEMBL481280
RAB	CHEMBL1090
A42	CHEMBL207994
F94	CHEMBL253786
